Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20100218_00,20100219_00,1,7.1,5.4,32.05/-2.15,32/-2.5,32.45/-2.15,31.5/-3.5
20100302_00,20100303_00,1,4.8,0.3,32.15/-2.85,32.5/-3.5,32.35/-3.85,32.5/-4
20100306_00,20100307_00,1,2.5,0.2,32.25/-1.85,32.5/-3,33.05/-0.25,32.5/-3
20100501_00,20100502_00,1,1.7,0.5,32.45/-1.65,32/-2.5,32.95/-0.65,32.5/-3.5
20100814_00,20100815_00,1,6.3,0.1,32.15/-1.75,31.5/-1.5,32.05/-0.55,32.5/-0.5
20100816_00,20100817_00,1,2.9,2.2,32.25/-2.75,32.5/-3.5,32.85/-2.95,32.5/-3.5
20100920_00,20100921_00,1,4.7,0.4,31.55/-1.65,31.5/-2,31.65/-0.35,32.5/-4
20100926_00,20100927_00,1,2.5,1.6,32.45/-1.35,32.5/-2.5,32.45/-0.35,32.5/-2
20101011_00,20101012_00,1,5.6,2.6,32.35/-1.75,32/-2,32.55/-0.95,32.5/-1.5
20110311_00,20110313_00,2,9.6,13.9,31.15/-1.85,30.5/-1.5,29.45/-1.45,30.5/-0.5
20110414_00,20110415_00,1,1.9,0.3,32.05/-1.75,32.5/-2.5,32.45/-0.35,32.5/-1
20110420_00,20110422_00,2,8.7,6.6,31.35/-1.55,31.5/-1.5,31.55/-0.45,32/-0.5
20110423_00,20110424_00,1,3,3.1,32.35/-2.05,32.5/-2.5,33.05/-0.35,32.5/-2.5
20110507_00,20110509_00,2,7.9,0.5,31.75/-1.85,32/-2,31.75/-0.75,32.5/-1
20110518_00,20110521_00,3,17.3,12.1,31.95/-1.85,32/-2,32.45/-0.65,32.5/-2.5
20110603_00,20110605_00,2,8.4,7.6,32.15/-1.75,32.5/-2,32.45/-0.45,32.5/-1
20110620_00,20110621_00,1,5.5,0.5,32.05/-1.65,32/-2,32.25/-0.75,32.5/-4
20110928_00,20110929_00,1,3.7,0.4,32.35/-1.35,32/-2,32.75/-0.25,32.5/-2.5
20110930_00,20111001_00,1,3.1,0.2,32.05/-1.25,32.5/-1,32.45/-1.65,32.5/-1
